32,キングサーモン,1800,9,3,all,川(河口),特大
33,シャンハイガニ,2000,9.10.11,3.4.5,16.17.18.19.20.21.22.23.0.1.2.3.4.5.6.7.8.9,川,やや小
34,グッピー,1300,4.5.6.7.8.9.10.11,10.11.12.1.2.3.4.5,9.10.11.12.13.14.15.16,川,小
35,ドクターフィッシュ,1500,5.6.7.8.9,11.12.1.2.3,9.10.11.12.13.14.15.16,川,やや小
36,エンゼルフィッシュ,3000,5.6.7.8.9.10,11.12.1.2.3.4,16.17.18.19.20.21.22.23.0.1.2.3.4.5.6.7.8.9,川,やや小
37,ベタ,2500,5.6.7.8.9.10,11.12.1.2.3.4,9.10.11.12.13.14.15.16,川,やや小
38,ネオンテトラ,500,4.5.6.7.8.9.10.11,10.11.12.1.2.3.4.5,9.10.11.12.13.14.15.16,川,小
39,レインボーフィッシュ,800,5.6.7.8.9.10,11.12.1.2.3.4,9.10.11.12.13.14.15.16,川,小
40,ピラニア,2500,6.7.8.9,12.1.2.3,9.10.11.12.13.14.15.16:21.22.23.0.1.2.3.4,川,やや小
41,アロワナ,10000,6.7.8.9,12.1.2.3,16.17.18.19.20.21.22.23.0.1.2.3.4.5.6.7.8.9,川,やや大
42,ドラド,15000,6.7.8.9,12.1.2.3,4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21,川,大
43,ガー,6000,6.7.8.9,12.1.2.3,16.17.18.19.20.21.22.23.0.1.2.3.4.5.6.7.8.9,池,特大
44,ピラルク,10000,6.7.8.9,12.1.2.3,16.17.18.19.20.21.22.23.0.1.2.3.4.5.6.7.8.9,川,特大
45,エンドリケリー,4000,6.7.8.9,12.1.2.3,21.22.23.0.1.2.3.4,川,やや大
46,チョウザメ,10000,9.10.11.12.1.2.3,3.4.5.6.7.8.9,all,川(河口),特大
47,クリオネ,1000,12.1.2.3,6.7.8.9,all,海,小
48,タツノオトシゴ,1100,4.5.6.7.8.9.10.11,10.11.12.1.2.3.4.5,all,海,小
49,クマノミ,650,4.5.6.7.8.9,10.11.12.1.2.3,all,海,小
50,ナンヨウハギ,1000,4.5.6.7.8.9,10.11.12.1.2.3,all,海,やや小
51,チョウチョウウオ,1000,4.5.6.7.8.9,10.11.12.1.2.3,all,海,やや小
52,ナポレオンフィッシュ,10000,7.8,1.2,4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21,海,特大
53,ミノカサゴ,500,4.5.6.7.8.9.10.11,10.11.12.1.2.3.4.5,all,海,中
54,フグ,5000,11.12.1.2,5.6.7.8,21.22.23.0.1.2.3.4,海,中
55,ハリセンボン,250,7.8.9,1.2.3,all,海,中
56,アンチョビ,200,all,all,4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21,海,小
57,アジ,150,all,all,all,海,やや小
58,イシダイ,5000,3.4.5.6.7.8.9.10.11,9.10.11.12.1.2.3.4.5,all,海,中
59,スズキ,400,all,all,all,海,大
60,タイ,3000,all,all,all,海,中
61,カレイ,300,10.11.12.1.2.3.4,4.5.6.7.8.9.10,all,海,中
62,ヒラメ,800,all,all,all,海,やや大
63,イカ,500,12.1.2.3.4.5.6.7.8,6.7.8.9.10.11.12.1.2,all,海,中
64,ウツボ,2000,8.9.10,2.3.4,all,海,大
65,ハナヒゲウツボ,600,6.7.8.9.10,12.1.2.3.4,all,海,細長
66,マグロ,7000,11.12.1.2.3.4,5.6.7.8.9.10,all,海(桟橋),特大
67,カジキ,10000,7.8.9:11.12.1.2.3.4,1.2.3:5.6.7.8.9.10,all,海(桟橋),特大
68,ロウニンアジ,4500,5.6.7.8.9.10,11.12.1.2.3.4,all,海(桟橋),大
69,シイラ,6000,5.6.7.8.9.10,11.12.1.2.3.4,all,海(桟橋),特大
70,マンボウ,4000,7.8.9,1.2.3,4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21,海,背びれ
71,エイ,3000,8.9.10.11,2.3.4.5,4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21,海,大
72,ノコギリザメ,12000,6.7.8.9,12.1.2.3,16.17.18.19.20.21.22.23.0.1.2.3.4.5.6.7.8.9,海,背びれ
73,シュモクザメ,8000,6.7.8.9,12.1.2.3,16.17.18.19.20.21.22.23.0.1.2.3.4.5.6.7.8.9,海,背びれ
74,サメ,15000,6.7.8.9,12.1.2.3,16.17.18.19.20.21.22.23.0.1.2.3.4.5.6.7.8.9,海,背びれ
75,ジンベイザメ,13000,6.7.8.9,12.1.2.3,all,海,背びれ
76,コバンザメ,1500,6.7.8.9,12.1.2.3,all,海,やや大
77,チョウチンアンコウ,2500,11.12.1.2.3,5.6.7.8.9,16.17.18.19.20.21.22.23.0.1.2.3.4.5.6.7.8.9,海,やや大
78,リュウグウノツカイ,9000,12.1.2.3.4.5,6.7.8.9.10.11,all,海,特大
79,デメニギス,15000,all,all,21.22.23.0.1.2.3.4,海,やや小
80,シーラカンス,15000,all,all,all,海(雨の日),特大
