24,ミツバチ,200,3.4.5.6.7,9.10.11.12.1,8.9.10.11.12.13.14.15.16.17,花,雨と雪の日以外
25,ハチ,2500,all,all,all,空中,　
26,アブラゼミ,250,7.8,1.2,8.9.10.11.12.13.14.15.16.17,木（ヤシの木以外）,　
27,ミンミンゼミ,300,7.8,1.2,8.9.10.11.12.13.14.15.16.17,木（ヤシの木以外）,　
28,クマゼミ,500,7.8,1.2,8.9.10.11.12.13.14.15.16.17,木（ヤシの木以外）,　
29,ツクツクホウシ,400,8.9,2.3,8.9.10.11.12.13.14.15.16.17,木（ヤシの木以外）,　
30,ヒグラシ,550,7.8,1.2,4.5.6.7.8、16.17.18.19,木（ヤシの木以外）,　
31,セミのぬけがら,10,7.8,1.2,all,木（ヤシの木以外）,　
32,アキアカネ,180,9.10,3.4,8.9.10.11.12.13.14.15.16.17.18.19,空中,雨と雪の日以外
33,ギンヤンマ,230,4.5.6.7.8.9.10,10.11.12.1.2.3.4,8.9.10.11.12.13.14.15.16.17,空中,雨と雪の日以外
34,オニヤンマ,4500,5.6.7.8.9.10,11.12.1.2.3.4,8.9.10.11.12.13.14.15.16.17,空中,雨と雪の日以外
35,イトトンボ,500,11.2,5.6.7.8,all,空中,雨と雪の日以外
36,ホタル,300,6,12,19.20.21.22.23.0.1.2.3.4,水辺（海以外）,雨と雪の日以外
37,オケラ,500,11.12.1.2.3.4.5,5.6.7.8.9.10.11,all,地中（鳴き声がする場所を掘る）,　
38,アメンボ,130,5.6.7.8.9,11.2.3,8.9.10.11.12.13.14.15.16.17.18.19,池,雨と雪の日以外
39,ゲンゴロウ,800,5.6.7.8.9,11.2.3,8.9.10.11.12.13.14.15.16.17.18.19,川・池,　
40,タガメ,2000,4.5.6.7.8.9,10.11.12.1.2.3,19.20.21.22.23.0.1.2.3.4.5.6.7.8,川・池,　
41,カメムシ,120,3.4.5.6.7.8.9.10,9.10.11.12.1.2.3.4,all,花,　
42,ジンメンカメムシ,1000,3.4.5.6.7.8.9.10,9.10.11.12.1.2.3.4,19.20.21.22.23.0.1.2.3.4.5.6.7.8,花,　
43,テントウムシ,200,3.4.5.6.10,4.9.10.11.12,8.9.10.11.12.13.14.15.16.17,花,雨と雪の日以外
44,ハンミョウ,1500,2.3.4.5.6.7.8.9.10,8.9.10.11.12.1.2.3.4,all,草地,雨と雪の日以外
45,タマムシ,2400,4.5.6.7.8,10.11.12.1.2,all,木,　
46,バイオリンムシ,450,5.6、9.10.11,3.4.5.11.12,all,木（切り株）,雨と雪の日以外
47,ゴマダラカミキリ,350,all,all,all,木（切り株）,　
48,ルリボシカミキリ,3000,5.6.7.8.9,11.2.3,all,木（切り株）,　
49,ホウセキゾウムシ,800,7.8,1.2,all,木,　
50,フンコロガシ,3000,12.1.2,6.7.8,all,雪玉の周辺,　
51,オオセンチコガネ,300,7.8.9,1.2.3,all,草地,　
52,プラチナコガネ,10000,7.8,1.2,23.0.1.2.3.4.5.6.7.8,木,　
53,カナブン,200,6.7.8,12.1.2,all,木,　
54,ゴライアスオオツノハナムグリ,8000,6.7.8.9,12.1.2.3,17.18.19.20.21.22.23.0.1.2.3.4.5.6.7.8,木（ヤシの木）,　
55,ノコギリクワガタ,2000,7.8,1.2,all,木,　
56,ミヤマクワガタ,1000,7.8,1.2,all,木,　
57,オオクワガタ,10000,7.8,1.2,23.0.1.2.3.4.5.6.7.8,木,　
58,ニジイロクワガタ,6000,6.7.8.9,12.1.2.3,19.20.21.22.23.0.1.2.3.4.5.6.7.8,木,　
59,ホソアカクワガタ,8000,7.8,1.2,17.18.19.20.21.22.23.0.1.2.3.4.5.6.7.8,木（ヤシの木）,　
60,オウゴンオニクワガタ,12000,7.8,1.2,17.18.19.20.21.22.23.0.1.2.3.4.5.6.7.8,木（ヤシの木）,　
61,ギラファノコギリクワガタ,12000,7.8,1.2,17.18.19.20.21.22.23.0.1.2.3.4.5.6.7.8,木,　
62,カブトムシ,1350,7.8,1.2,17.18.19.20.21.22.23.0.1.2.3.4.5.6.7.8,木,　
63,コーカサスオオカブト,8000,7.8,1.2,17.18.19.20.21.22.23.0.1.2.3.4.5.6.7.8,木（ヤシの木）,　
64,ゾウカブト,8000,7.8,1.2,17.18.19.20.21.22.23.0.1.2.3.4.5.6.7.8,木（ヤシの木）,　
65,ヘラクレスオオカブト,12000,7.8,1.2,17.18.19.20.21.22.23.0.1.2.3.4.5.6.7.8,木（ヤシの木）,　
66,ナナフシ,600,7.8.9.10.11,1.2.3.4.5,4.5.6.7.8、17.18.19,木,　
67,コノハムシ,600,7.8.9,1.2.3,all,木（葉っぱに擬態している）,　
68,ミノムシ,600,all,all,all,木（揺らす）,　
69,アリ,80,all,all,all,地面（腐ったカブ、アメ）,　
70,ヤドカリ,1000,all,all,19.20.21.22.23.0.1.2.3.4.5.6.7.8,浜辺,　
71,フナムシ,200,all,all,all,浜辺,雨と雪の日以外
72,ハエ,60,all,all,all,空中（くさったカブ、ゴミ）,　
73,カ,130,6.7.8.9,12.1.2.3,17.18.19.20.21.22.23.0.1.2.3.4,空中,雨と雪の日以外
74,ノミ,70,3.4.5.6.7.8.9.10.11,9.10.11.12.1.2.3.4.5,all,住民の体,　
75,カタツムリ,250,all,all,all,岩（雨天時）,　
76,ダンゴムシ,250,9.10.11.12.1.2.3.4.5.6,3.4.5.6.7.8.9.10.11.12,23.0.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16,岩（岩を叩く）,　
77,ムカデ,300,9.10.11.12.1.2.3.4.5.6,3.4.5.6.7.8.9.10.11.12,16.17.18.19.20.21.22.23,岩（岩を叩く）,　
78,クモ,600,all,all,19.20.21.22.23.0.1.2.3.4.5.6.7.8,木（揺らす）,　
79,タランチュラ,8000,11.12.1.2.3.4,5.6.7.8.9.10,19.20.21.22.23.0.1.2.3.4,草地・地面,雨と雪の日以外
80,サソリ,8000,5.6.7.8.9.10,11.12.1.2.3.4,19.20.21.22.23.0.1.2.3.4,草地・地面,雨と雪の日以外
